Villain	Year first	Year last	Doc. no.	Doctor actor	Episodes	Motivation (invasion earth, kill humans, etc)	Story titles
Plasmatons	1982	1982	5	Peter Davison	4	Serve big bad	Time-Flight
Ogri	1978	1978	4	Tom Baker	4	Protect	The Stones of Blood
Lok	2007	2007	10	David Tennant	13	Kill humans	The Infinite Quest 
Keller Machine	1971	1971	3	Jon Pertwee	6	Control Humans	The mind of Evil
Family of Blood	2007	2007	10	David Tennant	2	Kill/take control of humans and the Doctor	Human Nature/The Family of Blood
Clockwork Repair Droids	2006	2006	10	David Tennant	1	Take brain, repair ship	The Girl in the Fireplace
Mehendri Solon	1976	1976	4	Tom Baker	4	Kill the Doctor	The Brain of Morbius
Irongron	1973	1974	3	Jon Pertwee	4	Crime, serve big bad	 The Time Warrior
Ice Warriors (inc benevolent appearences)	1967	2013	2,3,11	Patrick Troughton, Jon Pertwee, Matt Smith	25	Absorb planets	The Ice Warriors, The Seeds of Death, The Curse of Peladon, The Monster of Peladon,The War Games, The Mind of Evil, Cold War
Chessene of the Franzine Grig	1985	1985	2,6	Patrick Troughton, Peter Davison	3	Get a time machine	The Two Doctors
Glitz, Sabalom	1986	1987	6,7	Colin Baker, Sylvester McCoy	9	Self-interest	The Mysterious Planet, The Ultimate Foe, Dragonfire
Dominators	1968	1968	2	Patrick Troughton	5	Turn Planet into fuel	The Dominators
Sutekh	1975	1975	4	Tom Baker	4	Destroy all life	Pyramids of Mars
Benik	1967	1968	2	Patrick Troughton	6	Serve Big Bad	The Enemy of the World
Lethbridge-Stewart, Brigade Leader (alt universe)	1970	1970	3	Jon Pertwee	7	Fascist stooge	Inferno
Mantasphid Queen	2007	2007	10	David Tennant	13	Power	The Infinite Quest 
Ood, the (Oodkind), inc benevolent appearances	2006	2010	10,11	David Tennant, Matt Smith	6	Serve big bad	The Impossible Planet/The Satan Pit, Planet of the Ood, The Waters of Mars, Human Nature
Finch, Mr (Lassar)	2006	2006	10	David Tennant	1	Kill humans	School Reunion
Oracle (the)	1978	1978	4	Tom Baker	4	Control of alien species	Underworld
Chief Caretaker	1987	1987	7	Sylvester McCoy	4	Kill humans	Paradise Towers
Lilith	2007	2007	10	David Tennant	1	Control Humans	The Shakespeare Code
Karfelon androids	1985	1985	6	Colin Baker	2	Serve big bad	Timelash
Slitheen (Strickland, Margaret Blaine and Oliver Charles)	2005	2005	9	Christopher Eccleston	3	World domination, kill humans	Aliens of London/World War Three, Boom Town
Minotaur, The	2011	2011	11	Matt Smith	1	Feed on beliefs	The God complex
Nucleus	1977	1977	4	Tom Baker	4	Disease, infection	The Invisible Enemy
Silence (the)	2011	2011	11	Matt Smith	4	World domination	The Impossible Astronaut/Day of the Moon, Let's Kill Hitler, The Wedding of River Song
Valeyard (the)	1986	1986	6	Colin Baker	18	Kill the Doctor	The Mysterious Planet/The Ultimate Foe, Trial of a Timelord
Isolus flowers (Scribble Monster)	2006	2006	10	David Tennant	1	Self interest	Fear Her
Varl	1985	1985	2,6	Patrick Troughton, Colin Baker	3	Possess time travel	The Two Doctors
San Francisco street gang	1996	1996	7,8	Sylvester McCoy, Paul McGann	1	Turf war (shoots doctor)	Doctor Who (TV movie)
Jek's androids	1984	1984	5,6	Peter Davison, Colin Baker	4	Serve big bad	The Caves of Androzani
Kellman	1975	1975	4	Tom Baker	4	Serve big bad	Revenge of the Cybermen
Frankenstein's monster robot	1965	1965	1	William Hartnell	6	Serve big bad	The Chase
Kroagnon	1987	1987	7	Sylvester McCoy	4	Kill humans	Paradise Towers
Shadow (the)	1979	1979	4	Tom Baker	6	War	The Armageddon Factor
Gavrok	1989	1989	7	Sylvester McCoy	4	Kill another alien species	The Greatest Show in the Galaxy
