Villain	Year first	Year last	Doc. no.	Doctor actor	Episodes	Motivation (invasion earth, kill humans, etc)	Story titles
Davinadroid	2005	2005	9	Christopher Eccleston	1	Controll Humans	Bad Wolf   
Morbius	1976	1976	4	Tom Baker	4	Universal control	The Brain of Morbius
Varla	1967	1967	2	Patrick Troughton	3	Possess time travel	The Two Doctors
Aridians	1965	1965	1	William Hartnell	6	Self interest	The Chase
Celestial Toymaker	1966	1966	1	William Hartnell	4	Kill/ enslave humans	Celestial Toymaker
Rani (the)	1985	1993	3,4,5,6,7	Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy	8	Enslavement, Medical experimentation	The Mark of the Rani, Dimensions in Time, Time and the Rani
MacMillan (DI)	2009	2009	10	David Tennant	1	Career	Planet of the Dead
Drashigs	1973	1973	3	Jon Pertwee	4	Kill everything	Carnival of Monsters
Terrible Zodin	1983	1985	1,2,3,4,6	William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Colin Baker	3	attack the Doctor	The Five Doctors, Attack of the Cybermen
Tractator	1984	1984	5	Peter Davison	4	Invade	Frontios
Red Carnivorous Maw	2009	2010	10	David Tennant	2	World domination	The End of Time
Autons (Marcellas, Commander and Claudio)	1970	2010	3,9,11	Jon Pertwee, Christopher Eccleston, Matt Smith	11	Defeat the Doctor	Terror of the Autons, spearhead from space, Rose, The Pandorica Opens/The Big Bang, Love & Monsters, Spearhead From Space
War Lord	1969	1969	2	Patrick Troughton	10	Kidnapp	The War Games
Gods of Ragnarok	1989	1989	7	Sylvester McCoy	4	Kill alien species/enslavement	The Greatest Show in the Galaxy
Collector (the)	1977	1977	4	Tom Baker	4	Human dictatorship/enslavement	The Sun Makers
Futurekind	2007	2007	10	David Tennant	1	Kill humans	Utopia
Camilla (one of Three who rule)	1980	1980	4	Tom Baker	4	Drink blood, control humans	State of Decay
Dibber	1986	1986	6	Colin Baker	4	Self-interest	The Mysterious Planet
Mawdryn	1983	1983	5	Peter Davison	4	Kill humans	Mawdryn Undead
Kronos	1972	1972	3	Jon Pertwee	6	Serve big bad	The Time Monster
Morgaine	1989	1989	7	Sylvester McCoy	4	War	Battlefield
Teselecta antibodies		2011	11	Matt Smith	1	Serve big bad	Let's Kill Hitler
Yartek	1964	1964	1	William Hartnell	6	Serve big Bad	The Keys of Marinus
Association (the)	1988	1988	7	Sylvester McCoy	4	Fascist stooge	Rememberance of the Daleks
Robotic crab	1987	1987	7	Sylvester McCoy	4	Serve big bad	Paradise Towers
Pyroviles	2008	2008	10	David Tennant	1	World domination	The Fires of Pompeii
Saturnynians	2010	2010	11	Matt Smith	1	World domination	The Vampires of Venice
Borad	1985	1985	6	Colin Baker	2	Kill humans	Timelash
Rutans	1977	1977	4	Tom Baker	4	War	Horror of Fang Rock
Naismith, Joshua	2009	2010	10,11	David Tennant, Matt Smith	2	Immortality	The End of Time
Omega	1972	1983	1,2,3,5	William Hartnell, Patrick Troughton, Jon Pertwee, Peter Davison	8	Revenge	The Three Doctors, Arc of Infinity
Grayle	2012	2012	11	Matt Smith	1	Collect Weeping Angels	The Angels Take Manhattan
Hartigan, Mercy	2008	2008	10	David Tennant	1	Human dictatorship/enslavement	The Next Doctor
Xanxia, Queen	1978	1978	4	Tom Baker	4	Make money	The Pirate Planet
Surgeons	2005	2005	9	Christopher Eccleston	1	Serve big bad	The End of the World
Headless Monks	2011	2011	11	Matt Smith	1	Serve big bad	A Good Man Goes to War
Eyesen	1964	1964	1	William Hartnell	6	Self-interest	The Keys of Marinus
Maaga	1965	1965	1	William Hartnell 	4	escape doomed planet	Galaxy 4
Dalek Duplicates	1984	1984	5	Peter Davison	2	Serve big bad	Ressurrection of the Daleks
Francesco	2010	2010	11	Matt Smith	1	Serve big bad	The Vampires of Venice
Screaming Jungle (The)	1964	1964	1	William Hartnell	6	Save alien planet	The Keys of Marinus
Mongol Bandit 	1964	1964	1	William Hartnell 	7	Serve big bad 	Marco Polo
Editor	2005	2005	9	Christopher Eccleston	1	Control Humans	The Long Game
Cessair of Diplos (The Cailleach/Morgana Montcalm/Senora Camara/Vivien Fay)	1978	1978	4	Tom Baker	4	Murder/theft	The Stones of Blood
Robotic cleaners	1987	1987	7	Sylvester McCoy	4	Serve big bad	Paradise Towers
Quill, Mr	1968	1968	2	Patrick Troughton	6	Serve big bad	Fury from the Deep
Gantok	2011	2011	11	Matt Smith	1	Serve big bad	The Wedding of River Song
Eckersley	1974	1974	3	Jon Pertwee	6	World domination	The Monster of Peladon
Azal	1971	1971	3	Jon Pertwee	5	Kill humans	The Dæmons
Trin-E	2005	2005	9	Christopher Eccleston	1	Serve big bad	Bad Wolf
L1 robot	1986	1986	6	Colin Baker 	4	Capture the Doctor	The Mysterious Planet
Forester	1964	1964	1	William Hartnell	3	Money	Planet of Giants
Squawk	2007	2007	10	David Tennant	13	Serve big bad	The Infinite Quest 
Destroyer	1989	1989	7	Sylvester McCoy	4	Defeat the Doctor	Battlefield
K1 Robot (Giant Robot)	1974	1975	4	Tom Baker	4	Mindless destruction	Robot
Judoon	2007	2010	10,11	David Tennant, Matt Smith	3	Obey bureaucracy	Smith & Jones, The Stolen Earth, The Pandorica Opens (see Alliance above)
Eight legs	1974	1974	3	Jon Pertwee	6	Serve big bad	Planet of the Spiders
Carrionites	2007	2007	10	David Tennant	1	World domination	The Shakespeare Code
Fenric	1989	1989	7	Sylvester McCoy	4	Control Humans	The Curse of Fenric
Mandrels	1979	1979	4	Tom Baker	4	Kill everything	Nightmare of Eden
Restac	2010	2010	11	Matt Smith	1	World domination	Cold Blood
Yeti	1967	1983	1,2,3,4,5	William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison	13	Serve big bad	The Abominable Snowmen, The Web of Fear, The Five Doctors
Halpen, Klineman	2008	2008	10	David Tennant	1	Kill an alien species	Planet of the Ood
Hath	2008	2008	10	David Tennant	1	War	The Doctor's Daughter
Kalik	1973	1973	3	Jon Pertwee	4	Power	Carnival of Monsters
Kraal 	1975	1975	4	Tom Baker	4	Kill humans	The Android Invasion
Zargo (one of Three who rule)	1980	1980	4	Tom Baker	4	Drink blood, control humans	State of Decay
Mandragora Helix	1976	1976	4	Tom Baker	4	World domination	The Masque of Mandragora
Kiv, Lord	1986	1986	6	Colin Baker	4	Make money	Mindwarp
Zygons	1975	2012	4,11	Tom Baker, Matt Smith	5	Invade earth	Terror of the Zygons, The Power of Three
Brethren (the), inc Father Angelo	2006	2006	10	David Tennant	1	Serve big bad	Tooth and Claw
Skeleton Crew 	2007	2007	10	David Tennant	13	Self interest	The Infinite Quest 
